artist	genres
Into It. Over It.	alternative emo, anthem emo, chicago indie, dreamo, emo, emo punk, melodic hardcore, pop punk
Ionia	No data
Isles	metalcore, progressive post-hardcore, screamo
Issues	emo, metalcore, pixie, pop punk, post-screamo, screamo
It Boys!	alternative pop rock, electropowerpop
It Dies Today	christian christmas, christian hardcore, christian metal, death core, heavy christmas, melodic metalcore, metalcore, punk christmas, screamo
It's Pouring on Our Heads	No data
Itch	No data
Ivens	No data
ivy league	No data
Iwrestledabearonce	death core, mathcore, melodic metalcore, metalcore, nintendocore, screamo
Jacky Jasper	No data
Jack's Mannequin	dreamo, emo, indie pop, neo mellow, piano rock, pop emo, pop punk, pop rock
James Morris	deep groove house
Jay Tea	No data
Jeffree Star	electropowerpop, pixie, strut
Jet Lag Gemini	deep pop emo
Jimmy Eat World	alternative metal, alternative rock, emo, neo mellow, pop christmas, pop punk, pop rock, post-grunge, punk christmas
Jimmy 2 Times	No data
Joan Jett and the Blackhearts	Rock, hard rock, punk rock
The Johnstones	punk christmas, ska, ska punk
The Jukebox Romantics	No data
Jule Vera	pixie, pop emo
The Juliana Theory	christian punk, dreamo, emo, emo punk, pop punk
Juliet Simms	deep talent show, pixie
Jumping Monks	No data
June	west coast trap
June Divided	gothic alternative, pop emo
The Junior Varsity	dreamo, emo, pop punk
Just Surrender	emo, pop emo, pop punk, screamo
Jurassic 5	alternative hip hop, gangster rap, hardcore hip hop, hip hop, rap, trip hop, turntablism
Justina	No data
K.Flay	escape room, hip pop, indie poptimism, indietronica
K-os	alternative hip hop, canadian indie, hip hop, pop rap
Kaddisfly	dreamo, progressive post-hardcore
Kairo Kingdom	catstep, complextro, filthstep, zapstep
Karate High School	Pop punk, post-hardcore, experimental rock, electronicore, power pop, Nintendocore, alternative rock
The Karma Killers	indie rockism
Katy Perry	dance pop, pop, pop christmas, post-teen pop
Kaya Stewart	R&B, EDM, pop
The Kenneths	No data
Kid Rock	alternative metal, hard rock, nu metal, post-grunge, redneck, rock
Killswitch Engage	alternative metal, groove metal, melodic metalcore, metalcore, nu metal, post-grunge, rap metal, rap rock
Kiros	christian alternative rock, christian rock
Knocked Loose	alternative emo, anthem emo, metalcore, screamo
The Know How	Ska, pop punk
Knuckle Puck	alternative emo, anthem emo, emo, pixie, pop punk, screamo
Koji	No data
Koo Koo Kanga Roo	Dance-pop, hip hop, synthpop, children's music
Kool Keith	abstract hip hop, alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, turntablism
Kosha Dillz	Jewish hip hop
Kottonmouth Kings	nu metal, rap metal, rap rock, redneck
L7	alternative rock, electroclash, funk rock, grunge, post-grunge, punk, riot grrrl, rock
Lagwagon	melodic hardcore, pop punk, punk, ska punk, skate punk
Large Marge	No data
Larry And His Flask	folk punk, ska punk
Lars Frederiksen and the Bastards	oi, punk, ska, ska punk, skate punk
Last Great Assault	No data
Latex Generation	punk rock
L.E.S. Stitches	No data
Le Castle Vania	Electronica, alternative dance, electronic rock
Lee Corey Oswald	No data
Less Than Jake	emo, melodic hardcore, pop punk, pop rock, post-grunge, punk, ska, ska punk, skate punk
The Letters Organize	Hardcore punk, Post-hardcore
Letter Kills	emo, pop punk, screamo
Life on the Sideline	No data
LIGHTS	indie pop, indie r&b, indietronica
Like Moths to Flames	death core, melodic metalcore, metalcore, pixie, post-screamo, screamo
Like Pacific	alternative emo, anthem emo, pixie, pop punk
Lillix	candy pop, post-teen pop, power-pop punk
Limp Bizkit	alternative metal, alternative rock, funk metal, nu metal, pop punk, post-grunge, rap metal, rap rock, rock, wrestling
Linkin Park	alternative metal, nu metal, post-grunge, rap metal
Lionize	reggae rock
Lionz of Zion	No data
The Living End	australian alternative rock, australian pop, pop punk, punk, skate punk
Living With Lions	alternative emo, anthem emo, melodic hardcore, pop punk
Long Beach Dub All-Stars	Reggae, ska, dub, punk rock
Longway	crunk, deep southern trap, deep trap, dirty south rap, dwn trap, gangster rap, rap, southern hip hop, trap music
Look What I Did	mathcore
The Lordz	Hip hop, Mafioso rap, Alternative rock, Punk rock, Rap rock, East Coast hip hop
Loser's Luck	No data
The Lost Boys	No data
Lost In Atlantis	No data
Lost In Society	No data
Lost Point	No data
Lostprophets	alternative metal
Love Equals Death	melodic hardcore, punk, skate punk
Lucero	Alternative country, Punk rock, Alternative rock, Heartland rock, Memphis soul, Country punk, Blues rock
Luckie Strike	No data
Ludo	pop punk
Lunachicks	power-pop punk, riot grrrl
M4Sonic	catstep
Mac Lethal	abstract hip hop, underground pop rap, underground rap
Machine Gun Kelly	pop rap, rap, southern hip hop, trap music
Machree	No data
Macy Kate	channel pop, viral pop
Mad Caddies	melodic hardcore, punk, ska, ska punk, skate punk
Madcap	pop punk
Madchild	rap rock
Madina Lake	emo, pop emo, pop punk, screamo
Mae	indie rock, emo
The Maine	alternative pop rock, emo, neo mellow, pixie, pop, pop emo, pop punk, pop rock, post-teen pop, punk christmas
Major League	alternative emo, anthem emo, melodic hardcore, pixie, pop punk
Make Do and Mend	alternative emo, melodic hardcore
Mallory Knox	alt-indie rock, british alternative rock, pixie
Man Overboard	alternative emo, anthem emo, emo, melodic hardcore, pixie, pop emo, pop punk, punk christmas, screamo
Manic Hispanic	hardcore punk
Manic Sewing Circle	punk ska
Marina City	pixie
Marissa Mishelle	No data
Marmozets	alt-indie rock, british alternative rock, pop emo
Masked Intruder	folk punk, melodic hardcore, orgcore, pop punk, power-pop punk, punk, punk christmas, ska punk, skate punk
Massive Monkees	Breaking
Matchbook Romance	emo, pop punk, post-hardcore, screamo
The Matches	deep new americana, modern blues, new americana
Matisyahu	reggae fusion
Matt Toka	No data
Mayday Parade	emo, neo mellow, pixie, pop emo, pop punk, pop rock, screamo
Maylene & The Sons Of Disaster	christian hardcore, christian metal, melodic metalcore, metalcore, screamo
MC Chris	comic, nerdcore
MC Lars	comic, nerdcore
MC Lars with Weerd Science	Hip hop, rock, alternative rock, progressive rock, new prog
Medium Troy	No data
Me First and the Gimme Gimmes	comic, heavy christmas, melodic hardcore, pop punk, punk, punk christmas, ska, ska punk, skate punk
Me Like Bees	No data
Meg & Dia	candy pop, pop christmas, pop emo, punk christmas, slc indie
Meghann Wright	No data
Memphis May Fire	metalcore, pixie, post-screamo, rap metal, screamo
The Menzingers	alternative emo, anthem emo, emo, indie punk, melodic hardcore, orgcore, pop punk, punk, skate punk
Mestmothe	Pop punk, punk rock, ska punk, alternative rock, melodic hardcore
Metro Station	electropowerpop, emo, pixie, pop punk, punk christmas
MewithoutYou	alternative emo, dreamo, emo, indie folk, progressive post-hardcore, screamo
M.I.A.	alternative dance, dance pop, escape room, hip pop, indie r&b, new rave, pop
Microwave	alternative emo, anthem emo, dreamo, emo, pixie, pop punk, progressive post-hardcore, screamo
Middleground	No data
Middle Class Rut	stomp pop
Middle Finger Salute	Punk rock, pop punk, alternative rock
Midnight To Twelve	grunge pop, hard alternative
Midtown	emo, pop punk, skate punk
MI6	No data
The Mighty Mighty Bosstones	alternative rock, boston rock, heavy christmas, pop punk, pop rock, punk, punk christmas, ska, ska punk, skate punk
Mighty Mongo	No data
Mike Posner	dance pop, pop, pop rap, post-teen pop, tropical house
Mike Watt + The Missingmen	Punk rock, hardcore punk, post-punk, alternative rock, art rock
Millencolin	melodic hardcore, pop punk, punk, skate punk
Millionaires	strut
Miracle Dolls	No data
The Misfits	Horror punk, hardcore punk, punk rock
Miss May I	death core, melodic metalcore, metalcore, post-screamo, rap metal, screamo
Mixtapes	alternative emo, anthem emo, folk punk, melodic hardcore, orgcore, pop punk
Mo Bigsley	No data
Mod Sun	underground pop rap
Moe Pope	flick hop, underground rap
Mojo Morgan	No data
Molotov	deep latin hip hop, latin alternative, latin hip hop, rock en espanol
Moments in Grace	grunge pop
Moneen	dreamo, emo, emo punk, pop punk, screamo
Montage	baile funk
Monty are I	No data
Moose Blood	alternative emo, anthem emo, emo, pixie, pop punk
More To Monroe	No data
Morgan Heritage	dancehall, lovers rock, reggae, reggae fusion, roots reggae
Mother Feather	indie punk
Motion City Soundtrack	emo, pop punk, pop rock, screamo
Motionless in White	alternative metal, melodic metalcore, metalcore, nu metal, pixie, post-screamo, rap metal, rap rock, screamo
Movements	alternative emo, anthem emo, pixie, progressive post-hardcore
The Movielife	alternative emo, emo, emo punk, melodic hardcore, pop punk, skate punk
Moving Mountains	alternative emo, anthem emo, dreamo, emo punk, post rock, progressive post-hardcore, screamo
The Muffs	alternative pop, power-pop punk
Municipal Waste	crossover thrash, death metal, groove metal, hardcore punk, metal, punk, rva indie, speed metal, thrash metal
Murder City Devils	garage rock, hardcore punk, post-hardcore, punk, punk blues
Mushroomhead	alternative metal, groove metal, industrial metal, industrial rock, melodic metalcore, metalcore, nu metal, post-grunge, rap metal, rap rock
Mutemath	christian alternative rock, dreamo, indie pop
MxPx	christian christmas, christian punk, emo, heavy christmas, melodic hardcore, pop punk, pop rock, punk, punk christmas, ska, ska punk, skate punk
My American Heart	punk christmas
My Arcadia	pop emo
My Chemical Romance	emo, pop punk, punk christmas, screamo
Naked Walrus	No data
The Narrative	dreamo
Near Miss	fast melodic punk, melodic hardcore
Neck Deep	alternative emo, anthem emo, emo, pixie, pop punk, screamo
Neo Geo	No data
N.E.R.D	hip hop, indie r&b, pop rap, rap
Never Shout Never	alternative pop rock, emo, pixie, pop punk, post-teen pop
New Beat Fund	No data
New Empire	Pop rock, Rock, pop, alternative
New Found Glory	emo, heavy christmas, pixie, pop punk, pop rock, post-grunge, punk, punk christmas, screamo, skate punk
The New Low	post-screamo
The New Sincerity	No data
New Years Day	candy pop, emo, pixie, pop emo, pop punk, screamo
Night Argent	No data
Night Riots	indie pop, indie poptimism, indie psych-rock, indie rockism, indietronica, shimmer pop
NiT GriT	brostep, filthstep, glitch hop
No Bragging Rights	metalcore, screamo
No Doubt	alternative rock, dance pop, permanent wave, pop, pop christmas, pop rock, post-grunge, punk christmas
NOFX	alternative rock, heavy christmas, melodic hardcore, pop punk, punk, punk christmas, skate punk
No Man's Land	No data
Nonpoint	alternative metal, groove metal, industrial metal, latin metal, melodic metalcore, metalcore, nu metal, post-grunge, rap metal, rap rock
Norma Jean	christian hardcore, christian metal, death core, djent, dreamo, mathcore, melodic metalcore, metalcore, post-hardcore, progressive post-hardcore, screamo
No Use for a Name	emo, melodic hardcore, pop punk, punk, ska punk, skate punk
Nothington	alternative emo, folk punk, melodic hardcore, orgcore, power-pop punk, punk, skate punk
Now On	post-post-hardcore, post-screamo
Obtik	No data
Oceana	No data
Oceans Ate Alaska	death core, metalcore, post-post-hardcore, post-screamo, screamo
Of Mice & Men	alternative metal, emo, metalcore, pixie, pop punk, post-screamo, rap metal, screamo
The Offspring	alternative metal, alternative rock, permanent wave, pop punk, pop rock, post-grunge, punk, rock, skate punk
Oh No Fiasco	No data
Oh, Sleeper	christian hardcore, christian metal, death core, dreamo, melodic metalcore, metalcore, progressive post-hardcore, screamo
Old Wounds	chaotic hardcore
On The Surface	No data
Onward, Etc.	No data
Oneyedjacks	No data
One Last Shot	No data
One Minute Silence	alternative metal, groove metal, industrial metal, nu metal, rap metal, rap rock
One Ok Rock	anime, j-metal, j-pop, j-rock, otacore
Only Crime	fast melodic punk, melodic hardcore, orgcore, punk, skate punk
Orange 9mm	rap metal, rap rock
Ore Ska Band	J-ska, ska punk, pop punk
Othello	No data
Our Last Night	emo, metalcore, pixie, pop punk, post-screamo, rap metal, screamo
Outasight	underground pop rap
Over It	alternative emo, anthem emo, chicago indie, dreamo, emo, emo punk, melodic hardcore, pop punk
Owen Plant	No data
Ozma	Alternative rock, power pop, indie pop, pop punk
P.O.S	abstract hip hop, escape room, underground rap
Pacific Dub	reggae rock
Paige Wood	No data
Palaye Royale	pixie, vegas indie
Panima	deep pop emo, pop emo
Papa Roach	alternative metal, alternative rock, nu metal, pop punk, post-grunge, rap metal, rap rock, rock
Paramore	candy pop, emo, pop, pop emo, pop punk
Parkway Drive	alternative metal, groove metal, melodic metalcore, metalcore, nu metal, rap metal, screamo
Passafire	reggae rock
Patent Pending	pixie, pop emo, pop punk
Pathway To Providence	No data
Pato	dancehall, lovers rock, reggae, reggae fusion, roots reggae
Peelander-Z	j-punk
Pendleton	Punk rock, Skate punk
Pennywise	melodic hardcore, pop punk, punk, skate punk
Pepper	reggae rock
Permanent Bastards	deep orgcore
Peter DiStefano	No data
Phathom	No data
The Photo Atlas	Indie rock, Dance-punk
Pierce the Veil	metalcore, pixie, pop punk, screamo
Pietasters	ska, ska punk, ska revival, traditional ska
The Pinker Tones	spanish rock
The Pink Slips	No data
The Pink Spiders	pop punk
Piotta	italian hip hop, italian pop
Pistolita	Indie rock, Piano rock, Progressive, Emo
Places And Numbers	No data
Plague Vendor	indie punk
Plain White T's	emo, neo mellow, pop, pop christmas, pop punk, pop rock, post-teen pop, punk christmas
Planet Smashers	ska, ska punk, ska revival
Playboy Manbaby	No data
PlayRadioPlay	alternative pop rock
Poison the Well	chaotic hardcore, christian hardcore, death core, mathcore, melodic metalcore, metalcore, post-hardcore, screamo
Polar Bear Club	alternative emo, anthem emo, emo, melodic hardcore, orgcore, pop punk, skate punk
Pour Habit	fast melodic punk, melodic hardcore, skate punk
Preston	chicago soul, classic funk rock, disco, funk, funk rock, jazz blues, memphis soul, motown, new orleans blues, quiet storm, soul, soul blues, southern soul
The Pretty Reckless	alternative metal, candy pop, pop, pop punk, post-grunge, post-teen pop
Prof	abstract hip hop, underground pop rap, underground rap
Protest The Hero	canadian metal, death core, djent, jazz metal, mathcore, melodic metalcore, metalcore, post-hardcore, progressive metal, progressive post-hardcore, screamo
The Protomen	comic, deep chiptune, video game music
Psycho White	No data
Psychotic 4	No data
Pull The Pin	No data
PVRIS	emo, indie poptimism, pixie, pop, pop emo, pop punk, screamo
Quarashi	icelandic pop, rap metal, rap rock
Quicksand	emo, emo punk, grunge, hardcore, math rock, mathcore, melodic hardcore, post-hardcore, space rock, straight edge
Railroad To Alaska	No data
Rancid	alternative rock, funk rock, pop punk, punk, ska, skate punk
The Randies	power-pop punk
Rapid Decline	No data
RDGLDGRN	Hip hop, indie rock, alternative rock, go-go
The Ready Set	alternative pop rock, emo, indie poptimism, pixie, pop, pop emo, pop punk, post-teen pop, punk christmas, teen pop, viral pop
Real Friends	alternative emo, anthem emo, emo, pixie, pop punk, screamo
Real McKenzies	celtic rock, punk, skate punk
The Receiving End of Sirens	dreamo, post-hardcore, progressive post-hardcore, screamo
Reckless Serenade	anthem emo
The Recovering	No data
Red Car Wire	alternative pop rock
Red Five	bubble trance
The Red Jumpsuit Apparatus	alternative metal, christian alternative rock, emo, metalcore, neo mellow, pixie, pop punk, pop rock, post-grunge, screamo
Reel Big Fish	comic, pop punk, pop rock, post-grunge, punk, ska, ska punk, skate punk
Reggie and the Full Effect	emo, emo punk, pop punk, post-hardcore, screamo
Relient K	ccm, christian alternative rock, christian christmas, christian music, christian punk, christian rock, emo, indiecoustica, neo mellow, pop christmas, pop punk, pop rock, punk christmas, worship
Remsa 'n Event	No data
Rev 9	No data
Reverend Horton Heat	funk rock, garage rock, psychobilly, punk, punk blues, rockabilly, surf music
Revolution Mother	No data
Rise Against	alternative metal, hardcore punk, nu metal, pop punk, post-grunge, punk
Rise To Remain	melodic metalcore, metalcore
The Riverboat Gamblers	Punk rock, garage rock, alternative rock
River City Extension	Indie folk, Alternative rock
Roam	alternative emo, anthem emo, pixie, pop punk
Rocket from the Crypt	alternative rock, garage rock, math rock, post-hardcore, punk, punk blues, punk christmas
The Rocket Summer	alternative pop rock, dreamo, emo, neo mellow, piano rock, pop christmas, pop emo, pop punk, pop rock, punk christmas
Roger Miret and the Disasters	oi
Rollins Band	funk metal, funk rock, grunge, punk, rap rock
Roses Are Red	screamo
Royal Crown Revue	swing, traditional swing
Rufio	emo, melodic hardcore, pop punk, punk, screamo, skate punk
Run DMT	indie dream pop, vaporwave
Rx Bandits	dreamo, pop punk, progressive post-hardcore, ska, ska punk
Ryan Cassata	Folk rock, indie, alternative
Safe To Say	alternative emo, anthem emo
Saint Alvia	Rock, Punk, Reggae
The Salads	Ska punk, reggae fusion, punk rock
Sammy Adams	pop rap, underground pop rap
Sarah and the Safe Word	No data
Save Ferris	ska, ska punk
Saves the Day	alternative emo, dreamo, emo, melodic hardcore, pop punk, pop rock, post-hardcore, screamo, skate punk
Saosin	dreamo, emo, metalcore, pop punk, post-hardcore, progressive post-hardcore, screamo
Saving Grace	christian hardcore, christian metal
Say Anything	alternative emo, dreamo, emo, pop punk, pop rock, screamo
Say No More	deep pop emo, pop emo
SayWeCanFly	pixie, pop emo
Say When	No data
Scare Don't Fear	Rap metal
Scary Kids Scaring Kids	emo, metalcore, pop punk, post-hardcore, progressive post-hardcore, screamo
The Scissors	No data
Seaway	alternative emo, anthem emo, pixie, pop emo, pop punk
Seaweed	emo, emo punk, grunge, math rock, post-hardcore
Secret Broadcast	No data
The Secret Handshake	alternative pop rock, electropowerpop
SECRETS	metalcore, pixie, post-post-hardcore, post-screamo, progressive post-hardcore, screamo
Senses Fail	emo, metalcore, pop punk, post-hardcore, screamo
Separations	post-post-hardcore, post-screamo
Set It Off	electropowerpop, emo, otacore, pixie, pop punk, punk christmas
Set Your Goals	alternative emo, anthem emo, emo, melodic hardcore, pop punk, post-hardcore, screamo, skate punk
Settings	orgcore
Sevendust	alternative metal, alternative rock, groove metal, industrial metal, melodic metalcore, metalcore, nu metal, post-grunge, rap metal, rap rock
Shad	deep trap, trap music
Sharks	death core, melodic metalcore, metalcore, post-screamo, screamo
Shattered Sun	Heavy metal, thrash metal, metalcore
The Sheds	alternative emo
Shinobi Ninja	Rock, Hip Hop, Metal, Punk, Reggae, Funk, Electronic
Shira	No data
Shiragirl	riot grrrl
Shooter Jennings	alternative country, country rock, outlaw country, redneck, southern rock, texas country, traditional country
Shot In The Dark	No data
Shut Up And Deal	No data
Shwayze	pop rap, underground pop rap
Shy KidX	No data
Sick City	deep pop emo
Sick of It All	alternative metal, crossover thrash, groove metal, hardcore, hardcore punk, melodic hardcore, punk, rap metal, rap rock, ska punk, skate punk, straight edge
Sick of Sarah	Power Pop, Indie Rock
Silent Planet	christian hardcore, christian metal, metalcore, post-screamo, progressive post-hardcore, screamo
The Silver Comet	No data
Silverstein	emo, metalcore, pixie, pop punk, post-hardcore, screamo
Simple Plan	emo, heavy christmas, neo mellow, pop, pop punk, pop rock, post-grunge, post-teen pop, punk christmas
Sing It Loud	alternative pop rock, pop emo, pop punk
Single File	pop punk
Six Feet Under	alternative metal, brutal death metal, death metal, deathgrind, grindcore, groove metal, latin metal, melodic metalcore, metal, nu metal, rap metal, rap rock, speed metal, technical death metal, thrash metal
Skarhead	crossover thrash, hardcore, straight edge
Skavoovie and the Epitones	ska punk, traditional ska
Skeet Skeet	No data
Skindred	alternative metal, groove metal, heavy christmas, industrial metal, nu metal, post-grunge, rap metal, rap rock, welsh rock
Skinny Lister	Folk, Indie folk
Skip The Foreplay	post-post-hardcore, post-screamo, screamo
Sky Eats Airplane	metalcore, nintendocore, progressive post-hardcore, screamo
Sleeper Agent	Alternative rock
Sleeper Set Sail	No data
The Sleeping	post-hardcore, progressive post-hardcore, screamo
Sleeping With Sirens	metalcore, pixie, pop emo, pop punk, screamo
Sleepwalker	german hip hop
The Smashup	punk christmas
The Smooths	punk ska, ska punk
Snapcase	emo, emo punk, hardcore, mathcore, melodic hardcore, metalcore, post-hardcore, rap metal, straight edge
Snot	alternative metal, funk metal, funk rock, groove metal, industrial metal, nu metal, rap metal, rap rock
So Long Arletta	No data
So They Say	Alternative rock, pop rock, post-hardcore, pop punk
Social Distortion	alternative rock, pop punk, punk, rock, skate punk
Someday Never	deep pop emo
Something Corporate	dreamo, emo, neo mellow, piano rock, pop christmas, pop emo, pop punk, pop rock, punk christmas
Somerset	No data
Sonic Boom Six	ska, ska punk
The Sounds	metropopolis, swedish alternative rock, swedish indie rock
The Specials	britpop, dance rock, madchester, new romantic, new wave, new wave pop, post-punk, punk, reggae, ska, ska punk, ska revival
The Spill Canvas	dreamo, emo, pop emo, pop punk, pop rock, punk christmas, screamo
Spring Heeled Jack	ska, ska punk
Sprout	art rock, britpop, chamber pop, dance rock, madchester, melancholia, new romantic, new wave, new wave pop, synthpop, uk post-punk
Stacked Like Pancakes	Ska, brass-rock, rock
Staind	alternative metal, alternative rock, nu metal, pop rock, post-grunge, rap metal, rap rock, rock
The Starting Line	alternative emo, anthem emo, dreamo, emo, pop emo, pop punk, pop rock, screamo
State Champs	alternative emo, anthem emo, deep pop punk, emo, pixie, pop emo, pop punk
Staylefish	reggae rock
Stepdad	metropopolis, shimmer pop
Stephan Jacobs	glitch hop
Stephen Jerzak	alternative pop rock, electropowerpop
Stick to Your Guns	death core, melodic hardcore, melodic metalcore, metalcore, screamo
Still Remains	christian hardcore, christian metal, groove metal, melodic death metal, melodic metalcore, metalcore, screamo
The Stingrays	No data
Story of the Year	alternative metal, christian alternative rock, emo, melodic metalcore, metalcore, nu metal, pop punk, post-grunge, rap metal, rap rock, screamo
The Story So Far	alternative emo, anthem emo, emo, pixie, pop punk, screamo
Strangers You Know	indie poptimism, indie psych-rock, indie rockism
Strawberry Blondes	No data
Stray from the Path	death core, djent, mathcore, melodic metalcore, metalcore, rap metal, screamo
Straylight Run	dreamo, emo, piano rock, pop punk
Street Dogs	melodic hardcore, oi, punk, ska, ska punk, skate punk
Street Drum Corps	Alternative rock, experimental rock, punk revival, industrial
Streetlight Manifesto	comic, pop punk, punk, ska, ska punk, skate punk
Stretch Armstrong	No data
Strike Anywhere	alternative emo, emo, folk punk, melodic hardcore, orgcore, pop punk, punk, rva indie, ska punk, skate punk
Strung Out	melodic hardcore, pop punk, punk, ska punk, skate punk
Stutterfly	screamo
Sublime	alternative rock, funk rock, pop rock
Suburban Legends	ska, ska punk
Sugarcult	emo, pop punk, pop rock, post-grunge, screamo, skate punk
Sugar Ray	alternative metal, alternative rock, funk metal, funk rock, neo mellow, pop christmas, pop punk, pop rock, post-grunge, punk christmas, rock
Suicidal Tendencies	alternative metal, crossover thrash, funk metal, funk rock, groove metal, grunge, hardcore punk, metal, nu metal, punk, rap metal, rap rock, rock, skate punk, speed metal, thrash metal
Suicide Machines	folk punk, hardcore punk, melodic hardcore, orgcore, pop punk, punk, ska, ska punk, skate punk
Suicide Silence	alternative metal, death core, groove metal, melodic metalcore, metalcore, nu metal, pixie, rap metal, screamo
The Suit	No data
Sum 41	alternative metal, nu metal, pop punk, post-grunge, punk, rap rock
The Summer Set	alternative pop rock, emo, neo mellow, piano rock, pixie, pop, pop emo, pop punk, pop rock, post-teen pop, punk christmas, teen pop, viral pop
The Sunstreak	No data
Supe	hard alternative
Super Water Sympathy	Alternative Rock, Shimmer-Pop
Supernova	Pop punk, punk rock
Survive This!	post-screamo
The Swellers	alternative emo, anthem emo, emo, melodic hardcore, pop punk, skate punk
Swingin' Utters	hardcore punk, melodic hardcore, orgcore, power-pop punk, punk, ska punk, skate punk
Switched	alternative metal, groove metal, industrial metal, nu metal, rap metal, rap rock
Sworn In	death core, metalcore, progressive deathcore, screamo
Sydney	deep indie r&b, escape room, hip hop, indie r&b, neo soul, r&b
Sykes	dance pop, pop, post-teen pop, teen pop, viral pop
Sylar	post-screamo, screamo
T. Mills	pop rap
Taking Back Sunday	emo, pop punk, pop rock, post-grunge, screamo
Talib Kweli	alternative hip hop, dirty south rap, east coast hip hop, hardcore hip hop, hip hop, pop rap, rap, southern hip hop
TAT	skate punk
Taylor Thrash	alternative pop rock
Teenage Bottlerocket	folk punk, melodic hardcore, orgcore, pop punk, power-pop punk, punk, ska, ska punk, skate punk
Ten Second Epic	Alternative rock
Terrible Things	pop punk
Terror	indie poptimism, pop, post-teen pop, teen pop
Tess Dunn	No data
Texas in July	christian hardcore, christian metal, death core, melodic metalcore, metalcore, screamo
There For Tomorrow	christian alternative rock, emo, pixie, pop emo, pop punk, screamo
They All Float	No data
Thirty Seconds to Mars	alternative metal, alternative rock, nu metal, pop punk, post-grunge
This Wild Life	alternative emo, anthem emo, pixie, pop emo, pop punk, screamo
Thrice	alternative metal, dreamo, emo, metalcore, nu metal, pop punk, post-grunge, post-hardcore, punk, screamo, skate punk
Throwdown	alternative metal, christian hardcore, groove metal, hardcore, melodic metalcore, metalcore, nu metal, rap metal, rap rock, straight edge
Throw The Fight	hard alternative, post-screamo
Thursday	alternative emo, dreamo, emo, pop punk, post-hardcore, progressive post-hardcore, screamo
Tiger Army	horror punk, psychobilly, punk, rockabilly, ska punk, skate punk
Tillie	indie rockism
Tilt	deep uplifting trance, epicore
Tip the Van	punk ska, ska, ska punk
Title Fight	alternative emo, anthem emo, emo, indie punk, melodic hardcore, pop punk, screamo
To The Wind	anthem emo, deep melodic metalcore
Tomorrow's Bad Seeds	No data
Tonight Alive	candy pop, emo, pixie, pop emo, pop punk, screamo
Tony D'Angelo	No data
Too Close to Touch	anthem emo, pixie, post-screamo, progressive post-hardcore, screamo
Tornado Rider	No data
Total Chaos	austrian hip hop, crossover thrash, crust punk, hardcore punk, oi, punk, skate punk
Trading Bryson	No artist data
Transit	alternative emo, anthem emo, emo, melodic hardcore, pixie, pop emo, pop punk, screamo
Transplants	pop punk, punk, ska, ska punk, skate punk
Trashing Andi	No data
Treaty of Paris	deep pop emo
Treephort	punk ska
Trophy Eyes	alternative emo, anthem emo, deep australian indie, pixie, pop punk
Trust Company	Alternative metal, nu metal, hard rock, post-grunge
T.S.O.L.	crossover thrash, hardcore punk, horror punk, oi, punk, ska punk, skate punk
Tsunami Bomb	melodic hardcore, pop punk, power-pop punk, punk, ska punk, skate punk
Twilight Creeps	No data
Twin Atlantic	alt-indie rock, british alternative rock, pop punk, scottish rock
Twiztid	horrorcore, rap metal, rap rock, redneck
Underoath	christian metal, dreamo, emo, melodic metalcore, metalcore, pop punk, post-hardcore, progressive post-hardcore, screamo
Unlocking The Truth	No data
Unsane	grunge, math rock, mathcore, noise rock, post-doom metal, post-hardcore, post-metal, sludge metal, space rock
The Unseen	hardcore punk, melodic hardcore, oi, punk, ska punk, skate punk
Unwritten Law	emo, pop punk, post-grunge, punk, skate punk
Upon a Burning Body	death core, groove metal, melodic metalcore, metalcore, nu metal, post-screamo, rap metal, screamo
The Urge	funk rock, ska punk
Urinal Mints	No data
The Used	alternative metal, emo, metalcore, nu metal, pixie, pop punk, pop rock, post-grunge, post-hardcore, screamo
Valencia	anthem emo, dreamo, emo, pop emo, pop punk, punk christmas
Valient Thorr	sludge metal, stoner metal, stoner rock
Vampires Everywhere!	Industrial metal, horror punk, gothic rock
The Vandals	crossover thrash, hardcore punk, heavy christmas, melodic hardcore, pop punk, punk, punk christmas, ska, ska punk, skate punk
The Vanished	grunge pop
Vanna	death core, melodic metalcore, metalcore, post-hardcore, progressive post-hardcore, screamo
Vaux	Alternative rock, Post-hardcore
Veara	alternative emo, anthem emo, deep pop punk, pop punk
Veil Of Maya	death core, djent, mathcore, melodic metalcore, metalcore, rap metal, screamo
Vendetta Red	emo, screamo
VersaEmerge	candy pop, pop emo, punk christmas, screamo
The Vincent Black Shadow	steampunk
Vision of Disorder	alternative metal, groove metal, hardcore, industrial metal, mathcore, metalcore, nu metal, rap metal, rap rock
Volumes	death core, djent, metalcore, rap metal, screamo
Vonnegutt	soul flow, underground pop rap
Voodoo Blue	deep pop emo
Wage War	melodic metalcore, metalcore, post-screamo, rap metal, screamo
Waka Flocka Flame	crunk, dirty south rap, dwn trap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop
Wallpaper.	deep australian indie, indie dream pop, vapor soul
War on Women	No data
Waterparks	anthem emo, pixie, pop emo, pop punk
Watsky	abstract hip hop, comic, pop rap, underground pop rap
The Waves	new wave pop
Wax	underground pop rap
We Are The In Crowd	candy pop, emo, pixie, pop emo, pop punk
